Flow.size,recover_result
1,201836
2,264959
3,157799
4,134826
5,80149.8
6,55967.8
7,34060.7
8,21945.1
9,13911.8
10,8759.07
11,5964.95
12,4207.08
13,3127.07
14,2525.87
15,2308.02
16,2044.44
17,1756.27
18,1322.72
19,1054.31
20,812.157
21,596.728
22,465.895
23,398.36
24,291.921
25,250.776
26,212.611
27,174.864
28,154.449
29,121.588
30,133.305
31,107.488
32,93.407
33,102.272
34,75.6861
35,65.4903
36,46.9725
37,40.1272
38,37.6325
39,35.3822
40,29.4115
41,24.3541
42,25.3532
43,20.48
44,15.777
45,5.97393
46,17.2007
47,22.3361
48,13.8784
49,22.0452
50,21.5771
51,31.3073
52,12.3463
53,22.4567
54,10.4109
55,20.3509
56,10.8062
57,7.88819
58,8.97053
59,13.8057
60,5.40951
61,4.95163
62,4.41911
63,8.26395
64,5.68425
65,6.83807
66,6.94638
67,11.1907
68,5.98522
69,7.92139
70,6.92762
71,4.90661
72,10.8291
73,4.73846
74,2.287
75,1.66821
76,1.04882
77,4.41868
78,3.55164
79,1.06248
80,3.66619
81,1.08918
82,3.70286
83,0.469711
84,0.481436
85,2.1459
86,0.507425
87,1.32318
88,0.525497
89,2.30655
90,0.506491
91,2.26301
92,0
93,0.557481
94,0
95,0.615765
96,1.54963
97,0.587092
98,0
99,0
100,0.748826
101,0
102,1.86976
103,0
104,0.749969
105,0
106,1.72241
107,0.655456
108,0
109,0.594763
110,0
111,0
112,0.603886
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1.31106
130,1.09471
131,2.03845
132,0
133,0
134,0
135,0
136,0
137,0
138,2.49198
139,0
140,3.4353
141,0
142,0.768965
143,1.78324
144,0
145,0
146,0.672407
147,0.624988
148,0
149,0
150,0
151,0.63949
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0.993117
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1.99636
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,1.00623
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0.993768
