Flow.size,recover_result
1,128424
2,180211
3,131682
4,121073
5,84844.5
6,63012
7,42566.2
8,29372.3
9,19391.5
10,13115.5
11,8789.46
12,6074.48
13,4279.74
14,3241.11
15,2539.75
16,2149.95
17,1743.52
18,1477.93
19,1199.59
20,931.351
21,713.431
22,554.384
23,453.34
24,352.457
25,309.226
26,229.351
27,204.446
28,169.147
29,141.167
30,109.723
31,105.596
32,86.6192
33,83.3932
34,81.1759
35,58.0606
36,42.2731
37,56.4248
38,38.8919
39,30.9969
40,33.8168
41,21.4128
42,19.5619
43,18.5871
44,14.9493
45,18.1573
46,10.999
47,15.0049
48,13.5875
49,19.3483
50,17.5479
51,15.42
52,17.4263
53,15.6983
54,14.6422
55,13.5021
56,17.6808
57,15.6479
58,6.53975
59,3.74998
60,5.20354
61,8.36385
62,6.34944
63,6.57832
64,6.78394
65,7.78279
66,4.76173
67,4.8454
68,10.3239
69,2.76643
70,5.21179
71,3.67571
72,4.5827
73,2.28733
74,5.59778
75,8.52905
76,1.53951
77,3.82936
78,3.7898
79,4.61833
80,1.47441
81,2.18891
82,1.51175
83,0.906328
84,0.391389
85,0.969801
86,1.72185
87,0.402106
88,1.03637
89,1.03758
90,1.85583
91,0
92,0
93,0
94,0.558307
95,0.5939
96,0
97,1.55438
98,0.590663
99,2.4996
100,0
101,0.564138
102,0.582993
103,0
104,0
105,0
106,1.66102
107,0.61212
108,0.588293
109,0
110,0
111,0
112,1.58331
113,0
114,0
115,0.618361
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1.4135
130,0
131,1.31924
132,0
133,1.21626
134,1.16885
135,0
136,1.06988
137,1.02502
138,0
139,2.14687
140,0.870137
141,0
142,0.817507
143,0
144,1.8114
145,0
146,0.630486
147,0.566105
148,0.498229
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,1.00069
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,1.0751
199,0.90486
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,1.02979
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,1.23196
383,0
384,0
385,0
386,0
387,1.11871
388,0.999748
389,0
390,0
391,0
392,0
393,0.863795
394,0.755997
