Flow.size,recover_result
1,608962
2,585409
3,250457
4,140884
5,52397.4
6,20952.9
7,7164.48
8,2604.23
9,916.605
10,365.787
11,158.147
12,79.6582
13,44.9062
14,29.7877
15,21.3015
16,17.2373
17,13.3342
18,11.0415
19,8.81522
20,6.79143
21,5.29633
22,4.25062
23,3.64682
24,2.98753
25,2.78943
26,2.21088
27,2.11289
28,1.87553
29,1.68456
30,1.42033
31,1.45914
32,1.29507
33,1.33267
34,1.3915
35,1.08666
36,0.865522
37,1.21388
38,0.917243
39,0.795143
40,0.922052
41,0.643071
42,0.627361
43,0.634857
44,0.545707
45,0.692164
46,0.449192
47,0.633008
48,0.59831
49,0.886619
50,0.83347
51,0.756654
52,0.891676
53,0.818911
54,0.783769
55,0.736578
56,1.02466
57,0.918402
58,0.372246
59,0.222838
60,0.317341
61,0.539778
62,0.410537
63,0.436925
64,0.461379
65,0.546023
66,0.32391
67,0.32823
68,0.826185
69,0.181452
70,0.367424
71,0.25241
72,0.326706
73,0.15648
74,0.415169
75,0.728187
76,0.0982622
77,0.264821
78,0.265662
79,0.347396
80,0.106225
81,0.167787
82,0.123644
83,0.0808401
84,0.0398174
85,0.097791
86,0.186175
87,0.0491347
88,0.128141
89,0.136627
90,0.269337
91,0
92,0
93,0
94,0.0996867
95,0.112647
96,0
97,0.347719
98,0.115093
99,0.653096
100,0
101,0.121308
102,0.136153
103,0
104,0
105,0
106,0.577175
107,0.175981
108,0.184684
109,0
110,0
111,0
112,0.779599
113,0
114,0
115,0.327822
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,3.34936
130,0
131,2.05456
132,0
133,1.25402
134,0.973944
135,0
136,0.601731
137,0.483365
138,0
139,1.04016
140,0.179001
141,0
142,0.12972
143,0
144,0.365812
145,0
146,0.0304212
147,0.0213138
148,0.0134176
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,1.00416
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,1.36366
199,0.496671
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,1.27549
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,2.4476
383,0
384,0
385,0
386,0
387,1.1971
388,0.635067
389,0
390,0
391,0
392,0
393,0.3036
394,0.141137
