Flow.size hash_size_cnt_750000
1 71548
2 106606
3 85302
4 84985
5 66235
6 54525
7 41335
8 31856
9 23593
10 17718
11 13126
12 9888
13 7512
14 5996
15 4900
16 4239
17 3555
18 3083
19 2590
20 2105
21 1690
22 1369
23 1148
24 927
25 816
26 634
27 563
28 473
29 399
30 319
31 299
32 249
33 234
34 222
35 167
36 127
37 152
38 111
39 90
40 92
41 62
42 55
43 50
44 40
45 44
46 28
47 34
48 30
49 38
50 34
51 29
52 31
53 28
54 26
55 24
56 29
57 26
58 13
59 8
60 10
61 14
62 11
63 11
64 11
65 12
66 8
67 8
68 14
69 5
70 8
71 6
72 7
73 4
74 8
75 11
76 3
77 6
78 6
79 7
80 3
81 4
82 3
84 1
85 2
86 3
88 2
89 2
91 0
93 0
94 1
95 1
96 0
100 0
102 1
104 0
107 1
112 2
127 0
128 0
129 1
133 1
134 1
135 0
138 0
140 1
141 0
142 1
176 0
192 0
199 1
363 0
378 0
379 0
383 0
388 1
393 1
83 2
87 1
90 3
92 0
97 2
98 1
99 3
101 1
103 0
105 0
106 2
108 1
109 0
110 0
111 0
113 0
114 0
115 1
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
125 0
126 0
130 0
131 1
132 0
143 0
144 2
146 1
154 0
155 0
158 0
161 0
162 0
164 0
169 0
170 0
171 0
175 0
187 0
188 0
211 0
241 0
249 0
385 0
413 0
418 0
424 0
426 0
437 0
137 1
148 1
150 0
151 0
152 0
177 1
202 0
364 0
389 0
390 0
395 0
136 1
139 2
147 1
198 1
366 1
382 1
387 1
394 1
200 0
381 0
